Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Num_Platforms,Exclusive
8078,Death Trap,2600,1982,Action,Avalon Interactive,0.15,0.01,0.0,0.0,0.17,1,1
8580,Pressure Cooker,2600,1982,Action,Activision,0.14,0.01,0.0,0.0,0.15,1,1
8854,Krull,2600,1982,Action,Atari,0.13,0.01,0.0,0.0,0.14,1,1
420,Baseball,NES,1983,Sports,Nintendo,0.73,0.1,2.35,0.02,3.2,2,0
689,Mario Bros.,NES,1983,Platform,Nintendo,0.51,0.12,1.63,0.02,2.28,2,0
753,Mahjong,NES,1983,Misc,Nintendo,0.01,0.0,2.13,0.0,2.14,1,1
1485,Pitfall II: Lost Caverns,2600,1983,Platform,Activision,1.22,0.07,0.0,0.02,1.31,1,1
1783,Donkey Kong,NES,1983,Platform,Nintendo,0.23,0.05,0.84,0.01,1.13,3,0
1813,Donkey Kong Jr.,NES,1983,Platform,Nintendo,0.33,0.07,0.7,0.01,1.11,1,1
1830,Popeye,NES,1983,Platform,Nintendo,0.51,0.12,0.45,0.02,1.1,2,0
2593,Jr. Pac-Man,2600,1983,Puzzle,Atari,0.72,0.05,0.0,0.01,0.78,1,1
2625,Crystal Castles,2600,1983,Action,Atari,0.72,0.04,0.0,0.01,0.77,1,1
3900,Midnight Magic,2600,1983,Action,Atari,0.47,0.03,0.0,0.01,0.5,1,1
4030,Millipede,2600,1983,Shooter,Atari,0.45,0.03,0.0,0.01,0.48,1,1
4169,Gremlins,2600,1983,Action,Atari,0.43,0.03,0.0,0.0,0.46,1,1
4717,Pengo,2600,1983,Adventure,Atari,0.38,0.02,0.0,0.0,0.4,1,1
5278,Frostbite,2600,1983,Action,Activision,0.32,0.02,0.0,0.0,0.34,1,1
5364,Frogger II: Threeedeep!,2600,1983,Action,Parker Bros.,0.31,0.02,0.0,0.0,0.33,1,1
5868,Dolphin,2600,1983,Action,Activision,0.27,0.02,0.0,0.0,0.29,1,1
8079,Mr. Do!'s Castle,2600,1983,Action,Parker Bros.,0.15,0.01,0.0,0.0,0.17,1,1
10,Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,1,1
277,Excitebike,NES,1984,Racing,Nintendo,2.04,0.48,1.57,0.07,4.16,1,1
298,Golf,NES,1984,Sports,Nintendo,1.22,0.28,2.46,0.04,4.01,2,0
743,Tennis,NES,1984,Sports,Nintendo,0.48,0.11,1.56,0.02,2.17,2,0
925,Pinball,NES,1984,Action,Nintendo,0.8,0.19,0.83,0.03,1.85,1,1
1216,F1 Race,NES,1984,Racing,Nintendo,0.0,0.0,1.52,0.0,1.52,1,1
1217,Xevious,NES,1984,Shooter,Namco Bandai Games,0.18,0.06,1.27,0.01,1.52,1,1
1303,4 Nin uchi Mahjong,NES,1984,Misc,Nintendo,0.0,0.0,1.45,0.0,1.45,1,1
1535,Hogan's Alley,NES,1984,Shooter,Nintendo,0.68,0.16,0.41,0.02,1.27,1,1
1616,Pac-Man,NES,1984,Puzzle,Namco Bandai Games,0.27,0.08,0.85,0.02,1.22,2,0
1831,Lode Runner,NES,1984,Puzzle,Hudson Soft,0.0,0.0,1.1,0.0,1.1,2,0
2471,Clu Clu Land,NES,1984,Puzzle,Nintendo,0.42,0.1,0.28,0.02,0.82,1,1
2903,Mappy,NES,1984,Platform,Namco Bandai Games,0.0,0.0,0.69,0.0,0.69,1,1
6170,Beamrider,2600,1984,Racing,Activision,0.26,0.01,0.0,0.0,0.27,1,1
2,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,2,0
373,Kung Fu,NES,1985,Action,Nintendo,1.64,0.38,1.42,0.06,3.5,1,1
856,Soccer,NES,1985,Sports,Nintendo,0.18,0.23,1.53,0.02,1.96,1,1
1240,Ice Climber,NES,1985,Platform,Nintendo,0.46,0.1,0.92,0.02,1.5,1,1
1469,Gyromite,NES,1985,Puzzle,Nintendo,0.73,0.16,0.4,0.03,1.32,1,1
1947,Tag Team Match M.U.S.C.L.E.,NES,1985,Fighting,Namco Bandai Games,0.0,0.0,1.05,0.0,1.05,1,1
1993,Bomberman,NES,1985,Puzzle,Hudson Soft,0.18,0.0,0.85,0.0,1.03,4,0
2033,1942,NES,1985,Shooter,Capcom,0.65,0.14,0.21,0.0,1.0,1,1
2217,Balloon Fight,NES,1985,Platform,Nintendo,0.39,0.09,0.43,0.01,0.92,1,1
3826,Wrecking Crew,NES,1985,Platform,Nintendo,0.0,0.0,0.51,0.0,0.51,1,1
4254,Ghostbusters,2600,1985,Puzzle,Activision,0.42,0.03,0.0,0.0,0.45,1,1
4611,Dig Dug,NES,1985,Puzzle,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41,2,0
13877,Alter Ego,PC,1985,Simulation,Activision,0.0,0.03,0.0,0.01,0.03,1,1
14674,Strongest Tokyo University Shogi DS,DS,1985,Action,Mycom,0.0,0.0,0.02,0.0,0.02,1,1
128,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,1,1
449,World Class Track Meet,NES,1986,Sports,Namco Bandai Games,1.92,0.45,0.64,0.07,3.08,1,1
544,Metroid,NES,1986,Action,Nintendo,1.33,0.31,1.04,0.05,2.73,1,1
566,Super Mario Bros.: The Lost Levels,NES,1986,Platform,Nintendo,0.0,0.0,2.65,0.0,2.65,1,1
604,Dragon Warrior,NES,1986,Role-Playing,Capcom,0.49,0.0,0.52,1.51,2.52,1,1
726,Pro Yakyuu Family Stadium,NES,1986,Sports,Namco Bandai Games,0.15,0.0,2.05,0.0,2.2,2,0
857,Rad Racer,NES,1986,Racing,Nintendo,1.13,0.37,0.41,0.05,1.96,1,1
978,Kid Icarus,NES,1986,Platform,Nintendo,0.53,0.12,1.09,0.02,1.76,1,1
1104,Ghosts 'n Goblins,NES,1986,Action,Capcom,0.74,0.26,0.61,0.03,1.64,1,1
1241,Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,NES,1986,Platform,Hudson Soft,0.0,0.0,1.5,0.0,1.5,1,1
1410,Gradius,NES,1986,Shooter,Konami Digital Entertainment,0.27,0.08,1.0,0.01,1.36,1,1
1594,Castlevania,NES,1986,Platform,Konami Digital Entertainment,0.54,0.06,0.62,0.01,1.23,2,0
1648,TwinBee,NES,1986,Shooter,Konami Digital Entertainment,0.0,0.0,1.2,0.0,1.2,1,1
1649,Ganbare Goemon! Karakuri Douchuu,NES,1986,Platform,Konami Digital Entertainment,0.0,0.0,1.2,0.0,1.2,1,1
1744,Doraemon,NES,1986,Action,Hudson Soft,0.0,0.0,1.15,0.0,1.15,1,1
1763,Commando,NES,1986,Action,Capcom,0.71,0.16,0.25,0.03,1.14,2,0
1948,Adventure Island,NES,1986,Platform,Hudson Soft,0.0,0.0,1.05,0.0,1.05,1,1
2122,Star Soldier,NES,1986,Shooter,Hudson Soft,0.32,0.06,0.57,0.01,0.96,1,1
3455,The Mysterious Murasame Castle,NES,1986,Action,Nintendo,0.0,0.0,0.57,0.0,0.57,1,1
5012,Solaris,2600,1986,Shooter,Atari,0.35,0.02,0.0,0.0,0.37,1,1
5869,RealSports Boxing,2600,1986,Sports,Atari,0.28,0.02,0.0,0.0,0.29,1,1
251,Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38,1,1
461,Mike Tyson's Punch-Out!!,NES,1987,Fighting,Nintendo,2.03,0.47,0.45,0.07,3.02,1,1
598,Dragon Warrior II,NES,1987,Role-Playing,Enix Corporation,0.15,0.0,2.41,0.0,2.56,1,1
640,Pro Wrestling,NES,1987,Fighting,Nintendo,0.77,0.18,1.42,0.03,2.4,1,1
749,Volleyball,NES,1987,Sports,Nintendo,0.14,0.03,1.98,0.0,2.15,1,1
1341,Pro Yakyuu Family Stadium '87,NES,1987,Sports,Namco Bandai Games,0.12,0.0,1.3,0.0,1.42,1,1
1567,Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,0.0,1.25,1,1
2192,Castlevania II: Simon's Quest,NES,1987,Platform,Konami Digital Entertainment,0.45,0.06,0.42,0.0,0.93,1,1
2421,Final Fantasy,NES,1987,Role-Playing,SquareSoft,0.32,0.0,0.52,0.0,0.84,2,0
2497,Mega Man,NES,1987,Platform,Capcom,0.45,0.08,0.27,0.01,0.81,1,1
3054,Kung-Fu Master,2600,1987,Action,Activision,0.6,0.04,0.0,0.01,0.65,1,1
4093,Commando,2600,1987,Action,Activision,0.44,0.02,0.0,0.0,0.47,2,0
4255,Defender II,2600,1987,Shooter,Atari,0.42,0.02,0.0,0.0,0.45,1,1
6342,Desert Falcon,2600,1987,Shooter,Atari,0.24,0.01,0.0,0.0,0.26,1,1
11078,Super Football,2600,1987,Sports,Atari,0.07,0.0,0.0,0.0,0.08,1,1
11554,Super Baseball,2600,1987,Sports,Atari,0.07,0.0,0.0,0.0,0.07,1,1
23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,2,0
97,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,1,1
156,Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,2,0
311,Dragon Warrior III,NES,1988,Role-Playing,Enix Corporation,0.1,0.0,3.77,0.0,3.87,2,0
631,Ice Hockey,NES,1988,Sports,Nintendo,1.27,0.32,0.78,0.05,2.42,2,0
754,R.C. Pro-Am,NES,1988,Racing,Nintendo,1.47,0.38,0.19,0.1,2.14,1,1
1173,Donkey Kong Classics,NES,1988,Platform,Nintendo,0.59,0.14,0.81,0.02,1.56,1,1
1229,Mega Man 2,NES,1988,Action,Capcom,0.93,0.15,0.42,0.01,1.51,1,1
1333,Disney's DuckTales,GB,1988,Platform,Capcom,0.82,0.23,0.35,0.03,1.43,2,0
1568,Dragon Ball: Daimaou Fukkatsu,NES,1988,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,0.0,1.25,1,1
1687,Pro Yakyuu Family Stadium '88,NES,1988,Sports,Namco Bandai Games,0.1,0.0,1.08,0.0,1.18,1,1
2650,Final Fantasy II,NES,1988,Role-Playing,SquareSoft,0.0,0.0,0.76,0.0,0.76,3,0
3827,River Raid II,2600,1988,Shooter,Activision,0.47,0.03,0.0,0.01,0.51,1,1
6672,Rampage,2600,1988,Action,Activision,0.22,0.01,0.0,0.0,0.24,1,1
13878,SimCity,PC,1988,Simulation,Maxis,0.0,0.02,0.0,0.01,0.03,2,0
6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,2,0
22,Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,1,1
171,Dr. Mario,GB,1989,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,2,0
276,Teenage Mutant Ninja Turtles,NES,1989,Action,Palcom,3.38,0.44,0.31,0.04,4.17,6,0
763,Golf,GB,1989,Sports,Nintendo,0.83,0.33,0.92,0.04,2.12,2,0
842,Tennis,GB,1989,Sports,Nintendo,0.75,0.3,0.9,0.04,1.99,2,0
867,Alleyway,GB,1989,Puzzle,Nintendo,0.96,0.38,0.55,0.05,1.94,1,1
1073,Disney's DuckTales,NES,1989,Platform,Capcom,0.91,0.3,0.42,0.04,1.67,2,0
1128,Baseball,GB,1989,Sports,Nintendo,0.66,0.27,0.65,0.03,1.61,2,0
1523,Yakuman,GB,1989,Misc,Nintendo,0.0,0.0,1.28,0.0,1.28,1,1
1650,SolarStriker,GB,1989,Shooter,Nintendo,0.4,0.39,0.36,0.04,1.2,1,1
1832,The Final Fantasy Legend,GB,1989,Role-Playing,SquareSoft,0.0,0.0,1.1,0.0,1.1,1,1
1833,Famicom Jump: Eiyuu Retsuden,NES,1989,Role-Playing,Namco Bandai Games,0.0,0.0,1.1,0.0,1.1,1,1
2396,Castlevania III: Dracula's Curse,NES,1989,Platform,Konami Digital Entertainment,0.4,0.07,0.37,0.01,0.85,1,1
4094,Double Dragon,2600,1989,Action,Activision,0.45,0.02,0.0,0.01,0.47,1,1
8581,Klax,2600,1989,Puzzle,Atari,0.14,0.01,0.0,0.0,0.15,1,1
12051,Adventures of Lolo,NES,1989,Puzzle,HAL Laboratory,0.06,0.0,0.0,0.0,0.06,1,1
19,Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,2,0
215,Dr. Mario,NES,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85,2,0
389,F-1 Race,GB,1990,Racing,Nintendo,1.73,0.69,0.59,0.4,3.41,1,1
440,Dragon Warrior IV,NES,1990,Role-Playing,Enix Corporation,0.08,0.0,3.03,0.01,3.12,1,1
505,F-Zero,SNES,1990,Racing,Nintendo,1.37,0.51,0.89,0.07,2.85,1,1
584,Streets of Rage,Other,1990,Action,Sega,1.86,0.55,0.11,0.08,2.6,1,1
713,Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990,Action,Konami Digital Entertainment,1.74,0.25,0.21,0.03,2.23,1,1
1174,Final Fight,SNES,1990,Action,Capcom,0.67,0.17,0.69,0.03,1.56,1,1
1264,Nintendo World Cup,NES,1990,Sports,Nintendo,0.28,0.5,0.65,0.05,1.48,1,1
1368,Final Fantasy III,NES,1990,Role-Playing,SquareSoft,0.0,0.0,1.39,0.01,1.4,4,0
1667,Disney's Chip 'n Dale: Rescue Rangers,NES,1990,Platform,Capcom,0.68,0.14,0.35,0.02,1.19,1,1
1699,Mega Man 3,NES,1990,Platform,Capcom,0.68,0.1,0.39,0.0,1.17,1,1
1745,Qix,GB,1990,Puzzle,Nintendo,0.51,0.2,0.41,0.03,1.15,1,1
1764,Pilotwings,SNES,1990,Simulation,Nintendo,0.46,0.17,0.48,0.02,1.14,1,1
5365,Extra Bases,GB,1990,Sports,Namco Bandai Games,0.0,0.0,0.33,0.0,0.33,1,1
5738,Famista '91,NES,1990,Sports,Namco Bandai Games,0.0,0.0,0.3,0.0,0.3,1,1
231,The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,2.42,0.91,1.15,0.13,4.61,2,0
254,Sonic the Hedgehog,Other,1991,Platform,Sega,3.03,0.91,0.26,0.13,4.34,3,0
845,SimCity,SNES,1991,Simulation,Nintendo,0.93,0.27,0.75,0.04,1.98,2,0
969,Final Fantasy II,SNES,1991,Role-Playing,Square,0.24,0.09,1.33,0.12,1.77,3,0
979,Metroid II: Return of Samus,GB,1991,Adventure,Nintendo,0.85,0.31,0.56,0.04,1.76,1,1
994,Yoshi,NES,1991,Puzzle,Nintendo,0.7,0.13,0.91,0.01,1.75,2,0
1098,Super Scope 6,SNES,1991,Shooter,Nintendo,1.06,0.38,0.15,0.05,1.65,1,1
1376,Teenage Mutant Ninja Turtles III: The Manhattan Project,NES,1991,Action,Konami Digital Entertainment,1.05,0.17,0.15,0.02,1.39,1,1
1688,Super Ghouls 'n Ghosts,SNES,1991,Platform,Capcom,0.5,0.14,0.52,0.02,1.18,2,0
1765,Super R.C. Pro-Am,GB,1991,Racing,Nintendo,0.58,0.37,0.15,0.04,1.14,1,1
2034,NES Open Tournament Golf,NES,1991,Sports,Nintendo,0.41,0.1,0.47,0.02,1.0,1,1
2193,Mega Man 4,NES,1991,Platform,Capcom,0.51,0.09,0.32,0.01,0.93,1,1
2651,Final Fantasy Legend III,GB,1991,Role-Playing,SquareSoft,0.0,0.0,0.76,0.0,0.76,1,1
2756,Yoshi,GB,1991,Puzzle,Nintendo,0.0,0.0,0.73,0.0,0.73,2,0
3143,Super Castlevania IV,SNES,1991,Platform,Konami Digital Entertainment,0.32,0.05,0.25,0.01,0.63,1,1
4031,The Legend of the Mystical Ninja,SNES,1991,Adventure,Konami Digital Entertainment,0.0,0.0,0.48,0.0,0.48,1,1
4350,Bomberman II,NES,1991,Puzzle,Hudson Soft,0.16,0.03,0.15,0.1,0.44,1,1
4505,Super Wagyan Land,SNES,1991,Action,Namco Bandai Games,0.0,0.0,0.42,0.0,0.42,1,1
4813,Super Fire ProWrestling,SNES,1991,Fighting,Human Entertainment,0.0,0.0,0.39,0.0,0.39,1,1
4907,Super Soccer,SNES,1991,Sports,Nintendo,0.0,0.0,0.38,0.0,0.38,1,1
4908,Final Fantasy Adventure,GB,1991,Role-Playing,SquareSoft,0.0,0.0,0.38,0.0,0.38,1,1
5366,Battle Dodge Ball,SNES,1991,Sports,Banpresto,0.0,0.0,0.33,0.0,0.33,1,1
5367,Kidou Senshi Gundam F91: Formula Senki 0122,SNES,1991,Strategy,Namco Bandai Games,0.0,0.0,0.33,0.0,0.33,1,1
5499,Tetris 2 + Bombliss,NES,1991,Puzzle,BPS,0.0,0.0,0.32,0.0,0.32,1,1
5870,SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan,SNES,1991,Role-Playing,Angel Studios,0.0,0.0,0.29,0.0,0.29,1,1
6016,Mega Man: Dr. Wily's Revenge,GB,1991,Platform,Nintendo,0.0,0.0,0.28,0.0,0.28,1,1
6017,Famista '92,NES,1991,Sports,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28,1,1
6018,Mega Man II,GB,1991,Platform,Nintendo,0.0,0.0,0.28,0.0,0.28,1,1
6019,Lord of Darkness,SNES,1991,Action,Tecmo Koei,0.0,0.0,0.28,0.0,0.28,1,1
6508,Romance of the Three Kingdoms II,SNES,1991,Strategy,Tecmo Koei,0.0,0.0,0.25,0.0,0.25,2,0
6845,Super R-Type,SNES,1991,Shooter,Nintendo,0.0,0.0,0.23,0.0,0.23,1,1
7377,Super Baseball Simulator 1.000,SNES,1991,Sports,Culture Brain,0.0,0.0,0.2,0.0,0.2,1,1
7872,GameBoy Wars,GB,1991,Strategy,Nintendo,0.0,0.0,0.18,0.0,0.18,1,1
7873,Battle Commander: Hachibushu Shura no Heihou,SNES,1991,Strategy,Banpresto,0.0,0.0,0.18,0.0,0.18,1,1
8328,SimEarth: The Living Planet,SNES,1991,Simulation,Imagineer,0.0,0.0,0.16,0.0,0.16,1,1
8582,World League Soccer,SNES,1991,Sports,Imagineer,0.0,0.0,0.15,0.0,0.15,1,1
9511,UN Squadron,SNES,1991,Shooter,Capcom,0.0,0.0,0.12,0.0,0.12,1,1
11079,Chibi Maruko-Chan: Harikiri 365-Nichi no Maki,SNES,1991,Misc,Epoch,0.0,0.0,0.08,0.0,0.08,1,1
11555,John Madden Football,SNES,1991,Sports,Imagineer,0.0,0.0,0.07,0.0,0.07,1,1
12052,Teenage Mutant Ninja Turtles II: Back from the Sewers,GB,1991,Action,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06,1,1
12619,Lagoon,SNES,1991,Role-Playing,Kemco,0.0,0.0,0.05,0.0,0.05,1,1
51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,1,1
